model,pass,rows_processed,roc_auc,brier_score,probability_rmse,unique_probabilities,probability_min,probability_max,pass_training_seconds,cumulative_training_seconds,pass_evaluation_seconds,cumulative_evaluation_seconds,tree_height,n_nodes,n_leaves
Hoeffding Tree,1,78038,0.6870257289453015,0.15403515368880966,0.39247312479813146,2,0.19304672905357262,0.8297414753080579,1.6967638998758048,1.6967638998758048,0.733906599925831,0.733906599925831,2,3,2
Hoeffding Tree,2,156076,0.6870257289453015,0.15403479713291965,0.3924726705554409,2,0.19316146552811966,0.8292765182250611,1.4079121998511255,3.1046760997269303,0.7718227000441402,1.5057292999699712,2,3,2
Hoeffding Tree,3,234114,0.6870257289453015,0.15403469655270258,0.3924725424188329,2,0.19319970776635126,0.8291214498126143,1.3681801001075655,4.472856199834496,0.7183960000984371,2.2241253000684083,2,3,2
Hoeffding Tree,4,312152,0.6870257289453015,0.15403464969135258,0.39247248271866475,2,0.19321882827553463,0.829043900087431,1.6772873001173139,6.15014349995181,0.878147599985823,3.1022729000542313,2,3,2
Hoeffding Tree,5,390190,0.6870257289453015,0.1540346226721049,0.3924724482968262,2,0.19323030038587374,0.8289973652850613,1.4817256999667734,7.631869199918583,0.7292467998340726,3.831519699888304,2,3,2
Hoeffding Tree,6,468228,0.6870257289453015,0.15403460511667402,0.3924724259316494,2,0.19323794837811367,0.8289663400135137,1.3434023999143392,8.975271599832922,0.7133555000182241,4.544875199906528,2,3,2
Hoeffding Tree,7,546266,0.6870257289453015,0.15403459280113982,0.3924724102419682,2,0.19324341118988425,0.8289441780913167,1.5202967999503016,10.495568399783224,0.744529000017792,5.28940419992432,2,3,2
Hoeffding Tree,8,624304,0.6870257289453015,0.15403458368703163,0.392472398630823,2,0.19324750827693066,0.8289275560951322,1.5218858998268843,12.017454299610108,0.7069874999579042,5.996391699882224,2,3,2
Hoeffding Tree,9,702342,0.6870257289453015,0.15403457667090303,0.3924723896924509,2,0.19325069488728153,0.8289146275472489,1.390833399957046,13.408287699567154,0.7163726000580937,6.712764299940318,2,3,2
Hoeffding Tree,10,780380,0.6870257289453015,0.15403457110375426,0.39247238260004264,2,0.19325324416743056,0.828904284501899,1.4667628000024706,14.875050499569625,0.7290596000384539,7.441823899978772,2,3,2
